fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,dependencia_alta,via_ingreso,derivacion_institucion,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,derivacion3_institucion,derivacion3_fecha,derivacion3_judicializa,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_tipo,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,provincia_indec_id
2020-01-01,,584554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Maquinista Savio,PNR - Línea 145,Línea 145,Protex,2020-01-01 20:27,Sí,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-01,,2584554505,Emergencia,Institución,No,Trata,"Explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-01 20:52,Sí,,,,,,,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Denunciante - ciudadano,,Mujer,,02
2020-01-02,,3584554505,Urgencia,Ciudadano,No,Trata,"Extracción forzosa de órganos, tejidos o fluidos",Buenos Aires,San Francisco Solano,PNR - Línea 145,Línea 145,Protex,2020-01-02 01:38,Sí,,,,,,,Argentina,Buenos Aires,Claypole,Denunciante - ciudadano,,Mujer,45,06
2020-01-02,,594554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Córdoba,Laboulaye,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:13,Sí,,,,,,,Argentina,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,50,14
2020-01-02,,1594554505,Urgencia,Ciudadano,No,Trata,Posible captación,,,PNR - Línea 145,Correo Institucional,Protex,2020-06-24 15:14,Sí,,,,,,,,,,Denunciante - ciudadano,,Hombre,,
2020-01-02,,2594554505,Urgencia,Institución,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-06-24 15:14,Sí,,,,,,,,Buenos Aires,,Denunciante - ciudadano,,,,06
2020-01-03,,4594554505,Emergencia,Institución,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,,,,,,,Argentina,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Mujer,,06
2020-01-03,,5594554505,Urgencia,Ciudadano,Sí,Trata,Explotación laboral,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-03 10:30,Sí,,,,,,,,,,,,,,06
2020-01-03,,9405554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Buenos Aires,Mar del Plata,PNR - Línea 145,Línea 145,,,,,,,,,,,,,,,,,06
2020-01-03,,505554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-03 15:22,Sí,,,,,,,,Buenos Aires,Buenos Aires,Denunciante,,Mujer,,06
2020-01-03,,1505554505,Urgencia,Ciudadano,Sí,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-03 18:04,Sí,,,,,,,,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Hombre,,02
2020-01-04,,7505554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,,,PNR - Línea 145,Línea 145,Protex,2020-01-04 13:28,Sí,,,,,,,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,,
2020-01-04,,8415554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-04 15:26,Sí,,,,,,,,Buenos Aires,,Denunciante - ciudadano,,Mujer,,06
2020-01-04,,9415554505,Urgencia,Ciudadano,No,Trata,Venta de niños y otros delitos,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Comisarías,2020-01-04 16:24,Sí,,,,,,,,,,Denunciante - ciudadano,,Mujer,,90
2020-01-05,,2515554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Trujui,PNR - Línea 145,Línea 145,,,,,,,,,,Argentina,Buenos Aires,San Andres,Denunciante - ciudadano,,Mujer,,06
2020-01-05,,3515554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-05 20:32,Sí,,,,,,,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,,06
2020-01-06,,5515554505,Urgencia,Ciudadano,No,Trata,Pornografía infantil - venta de niños y otros delitos - estafa,San Luis,San Luis,PNR - Línea 145,Línea 145,Protex,2020-01-06 02:25,Sí,,,,,,,Argentina,San Luis,San Luis,Denunciante - ciudadano,,Hombre,,74
2020-01-06,,7515554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-06 13:35,Sí,,,,,,,Argentina,Buenos Aires,San Andres,Denunciante - ciudadano,,Mujer,,06
2020-01-06,,8425554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-06 18:06,Sí,,,,,,,,,,Denunciante - ciudadano,,,,06
2020-01-06,,9425554505,Emergencia,Ciudadano,Sí,Trata,Explotación sexual,Santa Fe,Santo Tomé,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-06 21:39,Sí,,,,,,,,,,,,,,82
